Name,Source(s) Derived From,Natural or Artificial?
High Fructose Wheat Syrup,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
High Maltose Corn Syrup,Plant Sources,Natural
Hijiki,Plant Sources,Natural
Himalayan Salt,Other Natural Sources,Natural
Histidine,Plant Sources,Natural
Histidine Alpha Ketoglutarate,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Hiziki,Plant Sources,Natural
HMB,"Animal Sources, Plant Sources",Natural
Hoelen,Plant Sources,Natural
Hoja Santa,Plant Sources,Natural
Holmium,Other Natural Sources,Natural
Holy Basil,Plant Sources,Natural
Hominy,"Plant SourcesTo make hominy, field corn (maize) grain is dried, then treated by soaking and cooking the mature (hard) grain in a dilute solution of lye (which can be produced from water and wood ash) or of slaked lime (calcium hydroxide, i.e. from lime (material) as in limestone, not from lime (fruit)). The soaked maize is washed. Alkalinity helps dissolve hemicellulose, the major glue-like component of the maize cell walls, loosens the hulls from the kernels, and softens the corn. [1]",Natural
Honey,Animal Sources,Natural
Honey Powder,"Animal Sources, Plant Sources",Natural
Honeybush,Plant Sources,Natural
Honeysuckle,Plant Sources,Natural
Hoodia Gordonii,Plant Sources,Natural
Hops,Plant Sources,Natural
Hordenine,Plant Sources,Natural
Horehound,Plant Sources,Natural
Horned Melons,Plant Sources,Natural
Horopito,Plant Sources,Natural
Horse Chestnut Seed Extract,Plant Sources,Natural
Horseradish,Plant Sources,Natural
Horsetail,Plant Sources,Natural
Huito Juice,"Plant SourcesGenipa americana
- Wikipedia",Natural
Humectant,"Plant Sources, Other Natural Sources",Natural
Huperzine A,Plant SourcesHuperzine A is found in found in the firmoss Huperzia serrata plant along with other other Huperzia species in varying quantities. [1],Natural
Hyaluronan,Animal Sources,Natural
Hydrangea,Plant Sources,Natural
Hydrilla,Plant Sources,Natural
Hydrochloride,Other Natural Sources,Natural
Hydrogen,Other Natural Sources,Natural
Hydrogenated Lard,"Animal Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrogenated Protein,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrogenated Starch Hydrolysate,Chemical (Synthetic) Sources,Artificial
Hydrogenated Syrups,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Hydrolyzed Collagen,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Hydrolyzed Corn Gluten,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrolyzed Food Ingredient,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrolyzed Protein,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrolyzed Soy Gluten,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrolyzed Soy Protein,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrolyzed Wheat Gluten,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydrolyzed Yeast,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Hydroxyapatite,Animal Sources,Natural
Hydroxycitric Acid,Plant Sources,Natural
Hydroxylated Food Ingredient,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Hydroxylysine,Animal Sources,Natural
Hydroxyproline,Other Natural Sources,Natural
Hydroxypropyl Cellulose,Plant Sources,Natural
Hydroxypropyl MethylCellulose,Chemical (Synthetic) SourcesMethylcellulose does not occur naturally and is synthetically produced by heating cellulose with caustic solution (e.g. a solution of sodium hydroxide) and treating it with methyl chloride. [2],Artificial
Hydroxypropyl Methylcellulose Phthalate,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Hypericin,Plant Sources,Natural
Hyssop,Plant Sources,Natural
Iceland Moss,Plant Sources,Natural
Icing,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ignatia,Plant Sources,Natural
Illipe Butter,Plant Sources,Natural
Immunoglobulin,Animal Sources,Natural
Immunoglobulins,Animal Sources,Natural
Imperata,Plant Sources,Natural
Indian Millet,Plant Sources,Natural
Indium,Other Natural Sources,Natural
Inosine,"Animal Sources, Plant Sources",Natural
Inositol,Plant Sources,Natural
Inositol Hexanicotinate,Plant Sources,Natural
Inositol Phosphate,Plant Sources,Natural
Interesterified Oil,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Intrinsic Factor,Animal Sources,Natural
Invert Sugar,"Plant Sources, Other Natural Sources",Natural
Invertase,Plant Sources,Natural
Inverted Sugar Syrup,Plant Sources,Natural
Iodine,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Iodized Salt,Other Natural Sources,Natural
Iodotyrosine,Animal Sources,Natural
Ionic Minerals,Other Natural Sources,Natural
Ipriflavone,Chemical (Synthetic) Sources,Artificial
Iridium,Other Natural Sources,Natural
Iris,Plant Sources,Natural
Irish Moss,Plant Sources,Natural
Iron,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Iron Chloride,Other Natural Sources,Natural
Iron III Phosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Iron Oxide,Other Natural Sources,Natural
Iron Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Iron Sulfate,Other Natural Sources,Natural
Irvingia,"Plant SourcesIrvinia trees bear edible mango-like fruits, and are especially valued for their fat- and protein-rich nuts. [1]",Natural
Isatis,Plant Sources,Natural
Isobutane,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Isoflavones,"Plant Sources, Other Natural Sources",Natural
Isolated Carrot Product,Plant Sources,Natural
Isoleucine,"Plant Sources, Other Natural Sources",Natural
Isomalt,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Isomaltooligosaccharide,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Isomaltulose,"Animal Sources, Plant SourcesIsomaltulose is present in honey and sugarcane extracts. [1]",Natural
Isonaringin,Plant Sources,Natural
Ivy,Plant Sources,Natural
Jaggery,"Plant SourcesJaggery is made from sugarcane, date palm tree, and the coconut palm tree. [1]",Natural
Jalapeno Chili Powder,Plant Sources,Natural
Jalapeno Peppers,Plant Sources,Natural
Jam,Plant Sources,Natural
Japanese Honeysuckle,Plant Sources,Natural & Possibly Unsafe
Japanese Knotweed,Plant Sources,Natural
Japanese Teasel Root,Plant Sources,Natural
Japonica Rice,Plant Sources,Natural
Jasmine,Plant Sources,Natural
Jasmine Oil,Plant Sources,Natural
Jasmine Rice,Plant Sources,Natural
Jasmine Tea,Plant Sources,Natural
Java Tea,Plant Sources,Natural
Jelly,Plant Sources,Natural
Jerusalem Artichoke,Plant Sources,Natural
Jerusalem Artichoke Flour,Plant Sources,Natural
Jicama,Plant SourcesJicama is the edible root naturally sourced from Pachyrhizus erosus plant.,Natural
Jinenjo,Plant Sources,Natural
Jobs Tears,Plant Sources,Natural
Jojoba,Plant Sources,Natural
Juice Concentrate,Plant Sources,Natural
Jujube,Plant Sources,Natural
Juniper,Plant Sources,Natural
Juniper Berry,Plant Sources,Natural
Kaempferol,Plant Sources,Natural
Kaffir Lime,Plant Sources,Natural
Kalamata Olives,Plant Sources,Natural
Kale,Plant Sources,Natural
Kalpasi,Plant Sources,Natural
Kamut,Plant Sources,Natural
Kaolinite,Other Natural Sources,Natural
Karaya Gum,Plant Sources,Natural
Kava,Plant Sources,Natural
Kavalactones,Plant Sources,Natural
Kelp,Plant Sources,Natural
Kewara Water,"Plant Sources, Other Natural Sources",Natural
Kibbled Corn,Plant Sources,Natural
Kibbled Wheat,Plant Sources,Natural
Kidney,Animal Sources,Natural
Kidney Beans,Plant Sources,Natural
Kimchi,"Plant Sources, Other Natural Sources",Natural
Kippered Herring,Animal Sources,Natural
Kiwi,Plant Sources,Natural
Kohlrabi,Plant Sources,Natural
Koji Rice,"Plant Sources, Other Natural Sources",Natural
Kola Nut,Plant Sources,Natural
Kombu,Plant Sources,Natural
Kombucha,Plant Sources,Natural
KonaRed,Plant Sources,Natural
Konjac,Plant Sources,Natural
Konjac Flour,Plant Sources,Natural
Kosher Salt,Other Natural Sources,Natural
Krill,Animal Sources,Natural
Krill Meal,Animal Sources,Natural
Kudzu,Plant Sources,Natural
Kukicha,Plant Sources,Natural
Kumquats,Plant Sources,Natural
Kwao Krua,Plant Sources,Natural
L Arginine L Pyroglutamate,"Animal Sources, Plant Sources",Natural
L Ascorbyl 2 Polyphosphate,Chemical (Synthetic) Sources,Artificial
L Carnitine L Tartrate,Other Natural Sources,Natural
L Taurine,Animal Sources,Natural
Lac Resin,Animal Sources,Natural
Lactalbumin,Animal Sources,Natural
Lactase,"Plant Sources, Other Natural Sources",Natural
Lactic Acid,"Animal Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Lactic Acid Esters,"Animal Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Lactitol,Animal Sources,Natural
Lactobacillus,Other Natural Sources,Natural
Lactobacillus Acidophilus,Other Natural Sources,Natural
Lactobacillus Brevis,Other Natural Sources,Natural
Lactobacillus Casei,Other Natural Sources,Natural
Lactobacillus Lactis,Other Natural Sources,Natural
Lactobacillus Plantarum,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Lactobacillus Reuteri,Other Natural Sources,Natural
Lactococcus Lactis,Other Natural Sources,Natural
Lactoferrin,Animal Sources,Natural
Lactoperoxidase,Animal Sources,Natural
Lactose,Animal Sources,Natural
Lamb,Animal Sources,Natural
Lamb Broth,"Animal Sources, Plant Sources",Natural
Laminaria,Plant Sources,Natural
Lanthanum,Other Natural Sources,Natural
Lapsang Souchong,Plant Sources,Natural
Lard,Animal Sources,Natural
Laurel,Plant Sources,Natural
Lauroyl Macrogol 32 Glycerides,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Lavender,Plant Sources,Natural
Lead,Other Natural Sources,Natural & Possibly Unsafe
Leavening,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Lecithin,"Animal Sources, Plant SourcesLecithin is most commonly derived from egg yolk, soy beans, sunflower seeds, and peanuts but may be from other sources as well.",Natural
Leeks,Plant Sources,Natural
Lemna Minor,Plant Sources,Natural
Lemon Balm,Plant Sources,Natural
Lemon Extract,Plant Sources,Natural
Lemon Herb Seasoning,Plant Sources,Natural
Lemon Juice,Plant Sources,Natural
Lemon Myrtle,Plant Sources,Natural
Lemon Oil,Plant Sources,Natural
Lemon Paste,Plant Sources,Natural
Lemon Pepper,Plant Sources,Natural
Lemon Pepper Oil,Plant Sources,Natural
Lemon Verbena,Plant Sources,Natural
Lemongrass Oil,Plant Sources,Natural
Lemons,Plant Sources,Natural
Lentil,Plant Sources,Natural
Lentil Flour,Plant Sources,Natural
Lettuce,Plant Sources,Natural
Leucine,"Animal Sources, Plant SourcesHigh leucine foods include cheese, soybeans, beef, chicken, pork, nuts, seeds, fish, seafood, and beans. [1]",Natural
Leuconostoc,Other Natural Sources,Natural
Licorice,Plant Sources,Natural
Licorice Powder,Plant Sources,Natural
Lignans,Plant Sources,Natural
Lignin Sulfonate,Plant Sources,Natural
Ligusticum,Plant Sources,Natural
Ligusticum Wallichii,Plant Sources,Natural
Ligustrum,Plant Sources,Natural
Ligustrum Fruit,Plant Sources,Natural
Ligustrum Japonicum,Plant Sources,Natural
Lilium,Plant Sources,Natural
Lime,Plant Sources,Natural
Lime Juice,Plant Sources,Natural
Lime Oil,Plant Sources,Natural
Lime Water,Other Natural Sources,Natural
Limed Corn,"Plant Sources, Other Natural Sources",Natural
Limestone,Other Natural Sources,Natural
Limonene,Plant SourcesLimonene is the major component in the oil of citrus fruit peels. [1],Natural
Linden,Plant Sources,Natural
Lindera,Plant Sources,Natural
Lingonberries,Plant Sources,Natural
Linoleic Acid,Plant Sources,Natural
Lipase,Plant Sources,Natural
Lipids,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Lipoic Acid,Plant Sources,Natural
Lipolyzed Food Products,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Liquid Smoke,Other Natural Sources,Natural
Lithium,Other Natural Sources,Natural
Liver,Animal Sources,Natural
Liver Flavor,"Animal Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Liver Meal,Animal Sources,Natural
Lo Han Guo,Plant Sources,Natural
Lobelia,Plant Sources,Natural
Lobster,Animal Sources,Natural
Lobster Mushrooms,Other Natural Sources,Natural
Locust Bean Gum,Plant Sources,Natural
Lodex 10,Plant Sources,Natural
Lollo Rosa,Plant Sources,Natural
Long Pepper,Plant Sources,Natural
Longan Fruit,Plant Sources,Natural
Lophatherum,Plant Sources,Natural
Loquat,Plant Sources,Natural
Loranthus,Plant Sources,Natural
Lotus Root,Plant Sources,Natural
Lotus Seeds,Plant Sources,Natural
Lovage,Plant Sources,Natural
Lucuma,"Plant SourcesLucuma is native to the Andean valleys and grown in Peru, Ecuador and Chile. [1]",Natural
Luffa Operculata,Plant Sources,Natural
Lungwort,Plant Sources,Natural
Luo Han,Plant Sources,Natural
Lupine,Plant Sources,Natural
Lutein,Plant Sources,Natural
Lutetium,Other Natural Sources,Natural
Lychee,Plant Sources,Natural
Lychees,Plant Sources,Natural
Lycopene,Plant Sources,Natural
Lysimachia,Plant Sources,Natural
Lysine,"Plant Sources, Other Natural Sources",Natural
Lysophosphatidylcholine,"Animal Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Lysozyme,Animal Sources,Natural
Maca Root,Plant Sources,Natural
Macadamia Nut Flour,Plant Sources,Natural
Macadamia Nut Oil,Plant Sources,Natural
Macadamia Nuts,Plant Sources,Natural
Macadamia Oil,Plant Sources,Natural
Macaroni,"Plant Sources, Other Natural SourcesMacaroni is usually made from a mixture of wheat and water but it is possible other ingredients may be used in the process as well.",Natural
Mackerels,Animal Sources,Natural
Magnesia Phosphorica,"Plant Sources, Other Natural Sources",Natural
Magnesium,Other Natural Sources,Natural
Magnesium Ascorbate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Magnesium Aspartate,"Animal Sources, Plant Sources",Natural
Magnesium Carbonate,Other Natural Sources,Natural
Magnesium Citrate,Other Natural Sources,Natural
Magnesium Gluconate,"Animal Sources, Plant Sources",Natural
Magnesium Glycerophosphate,Other Natural Sources,Natural
Magnesium Hydroxide,Other Natural Sources,Natural
Magnesium Lactate,Other Natural Sources,Natural
Magnesium Monostearate,Chemical (Synthetic) Sources,Artificial
Magnesium Oxide,"Plant Sources, Chemical (Synthetic) SourcesMagnesium oxide can be sourced from Fruits, vegetables, nuts, and whole grains. It can also be sourced synthetically.",Both (Can be derived from Natural & Artificial Sources)
Magnesium Phosphate,Other Natural Sources,Natural
Magnesium Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Magnesium Stearate,"Animal Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Magnesium Sulfate,Other Natural Sources,Natural
Magnesium Trisilicate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Magnolias,Plant Sources,Natural
Maitake,Other Natural Sources,Natural
Malabathrum,Plant Sources,Natural
Male Fern,Plant Sources,Natural
Malic Acid,Other Natural Sources,Natural
Mallow,Plant Sources,Natural
Malt,Plant Sources,Natural
Malt Diastase,"Animal Sources, Plant SourcesMalt diastase is also known as maltase. It is produced by the cells lining the small intestine.",Natural
Malt Extract,Plant Sources,Natural
Malt Flavoring,Plant Sources,Natural
Malt Powder,Plant Sources,Natural
Malt Syrup,Plant Sources,Natural
Malt Vinegar,Plant Sources,Natural
Maltase,"Plant Sources, Other Natural Sources",Natural
Malted Flour,Plant Sources,Natural
Maltitol,"Plant Sources, Chemical (Synthetic) SourcesSmall amounts of maltitol occur naturally in some plants such as chicory leaves.Commercially, maltitol
is a produced by hydrogenation of maltose obtained from plant starch. [2]",Both (Can be derived from Natural & Artificial Sources)
Maltodextrin,Other Natural Sources,Natural
Maltol,Plant Sources,Natural
Maltose,Plant Sources,Natural
Malva,Plant Sources,Natural
Mandarin Oranges,Plant Sources,Natural
Manganese,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Manganese Ascorbate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Manganese Carbonate,Other Natural Sources,Natural
Manganese Dioxide,"Other Natural SourcesThis blackish or brown solid occurs naturally as the mineral pyrolusite, which is the main ore of manganese and a component of manganese nodules. [1]",Both (Can be derived from Natural & Artificial Sources)
Manganese Gluconate,Other Natural Sources,Natural
Manganese Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Manganese Sulfate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Manganous Oxide,"Other Natural Sources, Chemical (Synthetic) SourcesMnO occurs in nature as the rare mineral manganosite. [1]Commercially it is prepared by reduction of MnO2 with hydrogen, carbon monoxide or methane [1]",Artificial
Mangoes,Plant Sources,Natural
Mangosteen,Plant Sources,Natural
Manioc Flour,Plant Sources,Natural
Mannitol,"Plant Sources, Other Natural Sources",Natural
Mannose,"Plant SourcesMannose is a C-2 epimer of glucose, which is found in plants. [1]",Natural
Manuka Honey,"Animal Sources, Plant SourcesManuka honey is produced by introduced European honey bees (Apis mellifera) foraging on the manuka or tea tree. [1]",Natural
Maple Flavor Extract,Plant Sources,Natural
Maple Oil,Plant Sources,Natural
Maple Sugar,Plant Sources,Natural
Maple Syrup,Plant Sources,Natural
Maqui Berry Concentrate,Plant Sources,Natural
Marathi Moggu,Plant Sources,Natural
Margarine,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Marigold,Plant Sources,Natural
Marion berry,Plant Sources,Natural
Marjoram,Plant Sources,Natural
Marsala Wine,Plant Sources,Natural
Marshmallows,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Masa,Plant Sources,Natural
Matcha,Plant Sources,Natural
Matsutake,Other Natural SourcesMatsutake grow under trees and are usually concealed under fallen leaves and duff on the forest floor. [1],Natural
Mayonnaise,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Meadowsweet,Plant Sources,Natural
Mealworms,Animal Sources,Natural
Mechanically Separated Meat,"Animal SourcesMechanically separated meat may refer to beef, pork, turkey or chicken. [1]",Natural & Possibly Unsafe
Melatonin,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Melon Juice,Plant Sources,Natural
Melon Seed,Plant Sources,Natural
Melon Tree,Plant Sources,Natural
Menadione,Chemical (Synthetic) Sources,Artificial
Menaquinone,"Animal Sources, Plant Sources",Natural
Menhaden,Animal Sources,Natural
Menhaden Fish Oil,Animal Sources,Natural
Menthol,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Mercurius Sulphuratus Ruber,Other Natural Sources,Natural
Mercury,Other Natural Sources,Natural & Possibly Unsafe
Merlot,Plant Sources,Natural
Mesquite Pods,Plant Sources,Natural
Mesquite Smoke,Plant Sources,Natural & Possibly Unsafe
Methacrylic Acid,"Plant Sources, Other Natural Sources",Natural
Methionine,"Animal Sources, Plant Sources",Natural
Methylcellulose,"Plant Sources, Chemical (Synthetic) SourcesMethylcellulose does not occur naturally and is synthetically produced by heating cellulose. [1]",Artificial
Methylcobalamin,Other Natural Sources,Natural
Methylhexanamine,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Methylparaben,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Methylsulfonylmethane,Plant Sources,Natural
Micellar Casein,Animal Sources,Natural
Microalgae,Plant Sources,Natural
Microbial Cultures,Other Natural Sources,Natural
Microcrystalline Cellulose,Plant SourcesMicrocrystalline cellulose is a term for refined wood pulp. [1],Natural
Milk,Animal Sources,Natural
Milk Proteins,"Animal SourcesMilk protein concentrate
- Wikipedia",Natural
Millet,Plant Sources,Natural
Millet Flour,Plant Sources,Natural
Mineral Oil,Chemical (Synthetic) Sources,Artificial
Mint,Plant Sources,Natural
Mint Oil,Plant Sources,Natural
Mirin,Plant Sources,Natural
Miso,Plant Sources,Natural
Mission Fig,Plant Sources,Natural
Mizuna,Plant Sources,Natural
Modified Food Starch,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Modified Milk Ingredients,Animal Sources,Natural
Molasses,Plant Sources,Natural
Mold Inhibitor,"Animal Sources, Plant Sources, Chemical (Synthetic) SourcesMold inhibitors can be sourced from both natural and synthetic sources. Some examples of natural mold inhibitors are vinegar, prune juice concentrate, raisin juice concentrate, cultured wheat, and cultured whey. Sorbic acid and sorbates are an example of artificial mold inhibitor.",Both (Can be derived from Natural & Artificial Sources)
Molybdenum,Other Natural Sources,Natural
Molybdenum Glycinate,"Animal Sources, Plant Sources",Both (Can be derived from Natural & Artificial Sources)
Molybdenum Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Momordica,Plant Sources,Natural
Monarda,Plant Sources,Natural
Monascus Color,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Monk Fruit,Plant Sources,Natural
Monocalcium Phosphate,Other Natural Sources,Natural
Monoesters,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Monoglycerides,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Monopotassium Glutamate,"Animal Sources, Plant Sources",Natural
Monosodium Glutamate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Monosodium Phosphate,Chemical (Synthetic) Sources,Artificial
Monterey Jack Cheese,Animal Sources,Natural
Montina Pure,Plant Sources,Natural
Montmorency Cherries,Plant Sources,Natural
Montmorillonite,Other Natural Sources,Natural
Morchella,Other Natural Sources,Natural
Mortierella Alpina Oil,Other Natural Sources,Natural
Morus,Plant Sources,Natural
Mother Of Vinegar,Plant Sources,Natural
Motherwort,Plant Sources,Natural
Mozzarella Cheese,Animal Sources,Natural
Mucilage,"Plant Sources, Other Natural Sources",Natural
Mucuna Pruriens,Plant Sources,Natural
Mugwort,Plant Sources,Natural
Muira Puma,Plant Sources,Natural
Mullein,Plant Sources,Natural
Mung Bean,Plant Sources,Natural
Muscovado Sugar,Plant Sources,Natural
Mushrooms,Other Natural SourcesMushrooms are produced above ground on soil or on its food source.��,Natural
Musk Melon,Plant Sources,Natural
Mussels,Animal Sources,Natural
Must,Plant Sources,Natural
Mustard,Plant Sources,Natural
Mustard Greens,Plant Sources,Natural
Mustard Oil,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Mustard Powder,Plant Sources,Natural
Mustard Seed,Plant Sources,Natural
Mycelia,Other Natural Sources,Natural
Myrica Rubra,Plant Sources,Natural
Myrrh,Plant Sources,Natural
N Acetyl Glucosamine,Plant Sources,Natural
Naringenin,Plant SourcesNaringenin is the predominant flavanone in grapefruit. [1],Natural
Naringin,Plant SourcesNaringin is a major flavonoid in grapefruit. [1],Natural
Natamycin,Other Natural Sources,Natural
Nattokinase,Plant Sources,Natural
Natural Acids,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Natural Colors,"Animal Sources, Plant Sources, Other Natural Sources",Natural & Possibly Unsafe
Natural Extractives,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Natural Flavor,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Natural Fruit Sweetener,Plant Sources,Natural
Natural Green 3,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Natural Gum,Plant Sources,Natural
Natural Juices,"Plant Sources, Other Natural Sources",Natural
Natural Vitamin E Acetate,Plant Sources,Natural
Nectarines,Plant Sources,Natural
Neodymium,Other Natural Sources,Natural
Neotame,Chemical (Synthetic) Sources,Artificial
Neroli Oil,Plant Sources,Natural
Nettle,Plant Sources,Natural
Neufchatel Cheese,Animal Sources,Natural
Neutral Grain Spirit,Plant Sources,Natural
Neutralizing Agent,Chemical (Synthetic) Sources,Artificial
Niacin,"Animal Sources, Plant Sources, Other Natural SourcesNiacin can be sourced from meats, fruits, vegetables, and mushrooms. Turkey and chicken contain the highest amounts, while Peanuts, and Green Peas contain the highest among plant based food. [2]",Natural
Niacinamide Ascorbate,"Plant Sources, Other Natural Sources",Natural
Nickel,Other Natural Sources,Natural
Nicotinamide Adenine Dinucleotide,Other Natural Sources,Natural
Nigari,Other Natural Sources,Natural
Nigella Sativa,Plant Sources,Natural
Niger Seeds,Plant Sources,Natural
Niobium,Other Natural Sources,Natural
Nisin,Other Natural Sources,Natural
Nitrogen,Other Natural Sources,Natural
Nitrous Oxide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Non Dairy Creamer,"Plant Sources, Other Natural Sources",Natural
Nondairy Milk,Plant Sources,Natural
Noni,Plant Sources,Natural
Noodles,Plant Sources,Natural
Nori,Plant Sources,Natural
Nutmeg,Plant Sources,Natural
Nutmeg Oil,Plant Sources,Natural
Nuts,Plant Sources,Natural
Nux Vomica,Plant Sources,Natural & Possibly Unsafe
Oak Leaf,Plant Sources,Natural
Oat Beta Glucan,Plant Sources,Natural
Oat Bran,Plant Sources,Natural
Oat Fiber,Plant Sources,Natural
Oat Flour,Plant Sources,Natural
Oat Syrup Powder,Plant Sources,Natural
Oat Syrup Solids,Plant Sources,Natural
Oatmeal,Plant Sources,Natural
Oats,Plant Sources,Natural
Oatstraw,Plant Sources,Natural
Oblate Powder,"Plant Sources, Other Natural Sources",Natural
Ocean Fish,Animal Sources,Natural
Ocotillo,Plant Sources,Natural
Octopamine,Animal Sources,Natural
Oil of Cloves,Plant Sources,Natural
Okoubaka,Plant Sources,Natural
Okra,Plant Sources,Natural
Oleic Acid,"Animal Sources, Plant Sources",Natural
Oleoresin,Plant Sources,Natural
Oligopeptides,"Animal Sources, Plant Sources",Natural
Oligosaccharides,Plant Sources,Natural
Olive Leaf,Plant Sources,Natural
Olive Leaf Extract,Plant Sources,Natural
Olive Oil,Plant Sources,Natural
Olive Pomace Oil,Plant Sources,Natural
Olives,Plant Sources,Natural
Omega 3 Fatty Acids,"Animal Sources, Plant Sources",Natural
Omega 6 Fatty Acids,Plant Sources,Natural
Onion Juice,Plant Sources,Natural
Onions,Plant Sources,Natural
Oolong,Plant Sources,Natural
Opuntia,Plant Sources,Natural
Orange Juice,Plant Sources,Natural
Orange Leaves,Plant Sources,Natural
Orange Oil,Plant Sources,Natural
Orange Peel,Plant Sources,Natural
Orange Powder,Plant Sources,Natural
Oranges,Plant Sources,Natural
Orchid,Plant Sources,Natural
Oregano,Plant Sources,Natural
Oregon Grape,Plant Sources,Natural
Organic,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Ornithine,"Animal SourcesOrnithine is found in beef, pork, fish, eggs, and dairy products.",Natural
Ornithine Alpha Ketoglutarate,Other Natural Sources,Natural
